fecha;emisor;valor;valor_nominal_usd;precio_usd;numero_acciones;valor_efectivo_usd;procedencia
03/01/2023;CERVECERIA NACIONAL CN S A;ACCIONES;1.00;55.00;102;5610.00;G
03/01/2023;CERVECERIA NACIONAL CN S A;ACCIONES;1.00;55.00;10;550.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.50;1;98.50;Q
03/01/2023;BANCO GUAYAQUIL S.A.;ACCIONES;1.00;1.05;2000;2100.00;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;912;1960.80;G
04/01/2023;BANCO GUAYAQUIL S.A.;ACCIONES;1.00;1.05;300;315.00;G
04/01/2023;BANCO GUAYAQUIL S.A.;ACCIONES;1.00;1.05;2200;2310.00;G
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;450;967.50;G
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;150;322.50;G
04/01/2023;BANCO GUAYAQUIL S.A.;ACCIONES;1.00;1.06;100;106.00;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;30000;64500.00;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;20000;43000.00;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.16;924;1995.84;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;6347;13582.58;Q
04/01/2023;BANCO PICHINCHA C.A.;ACCIONES;100.00;90.00;6;540.00;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;225;483.75;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;241;515.74;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;912;1951.68;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;1000;2150.00;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;2741;5865.74;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;5551;11879.14;Q
04/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.95;580;551.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;12;1176.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;2350;5052.50;Q
04/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.88;100;88.00;Q
04/01/2023;CERVECERIA NACIONAL CN S A;ACCIONES;1.00;58.00;2;116.00;Q
04/01/2023;CERVECERIA NACIONAL CN S A;ACCIONES;1.00;58.00;17;986.00;Q
04/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;3701;7920.14;Q
05/01/2023;BANCO GUAYAQUIL S.A.;ACCIONES;1.00;1.06;2800;2968.00;G
05/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;220;473.00;Q
05/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;3636;7781.04;Q
05/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;400;860.00;Q
05/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;412;885.80;Q
05/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;1034;2212.76;Q
05/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;1401;2998.14;Q
05/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;15414;32985.96;Q
05/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;13456;28795.84;Q
05/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
05/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
05/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
05/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
05/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
