fecha;emisor;porcentaje_precio;valor_nominal_usd;valor_efectivo_usd;fecha_emision;fecha_vencimiento;porcentaje_rendimiento;procedencia;observaciones
03/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.4414;20841.05;19890.98;03/01/2023;02/07/2023;9.50;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
03/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.0627;52696.63;50094.86;03/01/2023;02/07/2023;10.33;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
04/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;97.7199;5587.97;5460.56;12/12/2022;11/04/2023;8.75;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
04/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;96.7326;13254.19;12821.12;03/01/2023;12/05/2023;9.50;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
04/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.3516;5400.97;5149.91;03/01/2023;02/07/2023;9.75;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
04/01/2023;PRODUCTORA CARTONERA S.A.;95.6938;31177.53;29834.96;04/01/2023;03/07/2023;9.00;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
04/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.3516;10501.22;10013.08;04/01/2023;03/07/2023;9.75;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
04/01/2023;PRODUCTORA CARTONERA S.A.;95.8543;14621.96;14015.78;27/12/2022;25/06/2023;9.00;Q;ACEPTANTE: INDUSTRIAS ALES - RUC: 1390000991001                                                                                                       
04/01/2023;TADEC TECNICOS AGROPECUARIOS DEL ECUADOR;96.7586;9327.71;9025.36;20/12/2022;19/05/2023;9.00;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
04/01/2023;PRODUCTORA CARTONERA S.A.;95.5795;16349.76;15627.01;04/01/2023;03/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
04/01/2023;PRODUCTORA CARTONERA S.A.;99.1818;202631.53;200973.50;03/01/2023;06/02/2023;9.00;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
04/01/2023;PRODUCTORA CARTONERA S.A.;99.1818;198328.09;196705.27;03/01/2023;06/02/2023;9.00;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
04/01/2023;PRODUCTORA CARTONERA S.A.;99.1818;198548.75;196924.13;03/01/2023;06/02/2023;9.00;G;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
04/01/2023;PRODUCTORA CARTONERA S.A.;95.8543;14639.31;14032.41;27/12/2022;25/06/2023;9.00;G;ACEPTANTE: INDUSTRIAS ALES - RUC: 1390000991001                                                                                                       
05/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;95.3516;30800.31;29368.59;05/01/2023;04/07/2023;9.75;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
06/01/2023;ABSORPELSA PAPELES ABSORVENTES SA;96.3636;36350.79;35028.93;05/01/2023;26/05/2023;9.50;Q;ACEPTANTE: SURGALARE S.A. - RUC: 0992730048001                                                                                                        
06/01/2023;MULTICOMERCIO PECUARIO MULTICOPEC;96.8523;3936.81;3812.89;17/11/2022;16/05/2023;9.00;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
